Real VisDrone MOT sequences, flown at the tablet's cadence.
Consecutive frames of real flights; every person carries a target id, so a
second number issued to somebody is a measured identity switch.
Detector: web/models/experiments/enot-x3-640.onnx
Whole-frame pass alongside the tiles: 0
Cycle: 500 ms

2 tile/cycle, 2x1, 500 ms, enot-x3-640.onnx, 76 ms a look
  flight         present  reached  numbers  repeats  stray  on a person
  uav0000117_02622_v     103       52       70       18     70          17%
  TOTAL              103       52       70       18     70        17.4%
  reached 50% of the people, and gave them 1.35 numbers each

2 tile/cycle, 2x1, 500 ms, enot-x3-640.onnx, 76 ms a look
  flight         present  reached  numbers  repeats  stray  on a person
  uav0000137_00458_v      75       36       45        9     20          50%
  TOTAL               75       36       45        9     20        49.5%
  reached 48% of the people, and gave them 1.25 numbers each

2 tile/cycle, 2x1, 500 ms, enot-x3-640.onnx, 77.6 ms a look
  flight         present  reached  numbers  repeats  stray  on a person
  uav0000086_00000_v      71       53       73       20     18          81%
  TOTAL               71       53       73       20     18        81.0%
  reached 75% of the people, and gave them 1.38 numbers each

2 tile/cycle, 2x1, 500 ms, enot-x3-640.onnx, 75.6 ms a look
  flight         present  reached  numbers  repeats  stray  on a person
  uav0000339_00001_v      34       14       19        5     10          46%
  TOTAL               34       14       19        5     10        45.5%
  reached 41% of the people, and gave them 1.36 numbers each

2 tile/cycle, 2x1, 500 ms, enot-x3-640.onnx, 78.3 ms a look
  flight         present  reached  numbers  repeats  stray  on a person
  uav0000182_00000_v      22        5        5        0     28           4%
  TOTAL               22        5        5        0     28         4.2%
  reached 23% of the people, and gave them 1.00 numbers each


  5 real sequences

  setting                             reached         each          stray
  as shipped                              52%    +0     1.32+0.00     146

  minIou 0.1                              52%    +0     1.32-0.01     143
  minIou 0.15                             51%    -1     1.31-0.02     151
  minIou 0.2                              52%    -1     1.31-0.01     149
  minIou 0.3                              49%    -3     1.35+0.02     150
  maxCoastMs 800                          52%    +0     1.32+0.00     146
  maxCoastMs 1200                         57%    +4     1.36+0.03     169
  maxCoastMs 2000                         59%    +7     1.48+0.15     177
  maxCoastMs 3000                         60%    +8     1.56+0.23     175
  maxCoastMs 4000                         62%   +10     1.57+0.25     178
  confirmAfter 2                          67%   +14     1.67+0.35     227
  confirmAfter 3                          60%    +8     1.46+0.14     170
  confirmAfter 4                          52%    +0     1.32+0.00     146
  confirmAfter 5                          46%    -6     1.28-0.04     116
  confirmAfter 6                          40%   -12     1.24-0.09      99
  confirmAfter 8                          29%   -24     1.18-0.14      60
  newTrackConfidence 0.2                  52%    -1     1.34+0.02     149
  newTrackConfidence 0.25                 52%    +0     1.32+0.00     146
  newTrackConfidence 0.3                  52%    -1     1.31-0.01     128
  newTrackConfidence 0.35                 51%    -1     1.28-0.04     114
  maxMisses 3                             52%    +0     1.32+0.00     146
  maxMisses 5                             52%    +0     1.32+0.00     146
  maxMisses 10                            52%    +0     1.32+0.00     146
  maxMisses 20                            52%    +0     1.32+0.00     146

  reidSimilarity 0.45                     51%    -1     1.31-0.02     146
  reidSimilarity 0.55                     52%    +0     1.32+0.00     146
  reidSimilarity 0.62                     52%    +0     1.32-0.01     155
  reidSimilarity 0.7                      53%    +0     1.36+0.04     160
  reidSimilarity 0.8                      53%    +0     1.42+0.09     172
  reidWindowMs 30s                        52%    +0     1.32+0.00     146
  reidWindowMs 120s                       52%    +0     1.32+0.00     146
  reidWindowMs 300s                       52%    +0     1.32+0.00     146

  coast 800 confirm 4 reid 0.55           52%    +0     1.32+0.00     146
  coast 800 confirm 4 reid 0.62           52%    +0     1.32-0.01     155
  coast 800 confirm 5 reid 0.55           46%    -6     1.28-0.04     116
  coast 800 confirm 5 reid 0.62           46%    -6     1.28-0.04     122
  coast 1200 confirm 4 reid 0.55          57%    +4     1.36+0.03     169
  coast 1200 confirm 4 reid 0.62          57%    +4     1.38+0.06     169
  coast 1200 confirm 5 reid 0.55          48%    -5     1.32-0.00     127
  coast 1200 confirm 5 reid 0.62          48%    -5     1.34+0.02     129
